views,likes_x,dislikes,comment_total,L/D,likes_y,replies,poitive_score,negative_score,neutral_score,compound_score
35730,1311,44,160,29.795454545454582,5.866666666666666,0.6,0.15377575757575757,0.09884848484848484,0.7473757575757576,0.09476363636363636
107469,1487,31,414,47.967741935483645,2.595,0.2525,0.21993750000000012,0.048825,0.7312075000000007,0.29527300000000006
4390432,17145,494,954,34.70647773279366,1.5285714285714285,0.11428571428571428,0.2563400000000001,0.1062142857142857,0.6345799999999998,0.18279142857142852
284658,1818,429,790,4.237762237762172,0.42333333333333334,0.11,0.15265333333333325,0.09019333333333336,0.757144999999999,0.09254749999999998
329907,1158,190,434,6.0947368421052515,0.673469387755102,0.4387755102040816,0.15766326530612249,0.0769795918367347,0.7551734693877552,0.1361948979591837
685504,25437,1151,4983,22.099913119026773,0.09,0.0775,0.12387750000000007,0.08482749999999997,0.791315,0.07617125000000005
1530990,86275,2583,9328,33.401084010840236,0.126,0.014,0.1960260000000001,0.08907999999999998,0.7128999999999999,0.1649281999999999
1539430,4225,842,7695,5.0178147268408475,0.622,0.15,0.08383599999999995,0.15558400000000003,0.7605879999999999,-0.2360220000000003
768475,21268,878,1479,24.223234624145718,0.085,0.005,0.13799500000000003,0.11169500000000003,0.7503399999999998,0.05506050000000002
2022033,42650,2293,7143,18.600087221979916,18.102,2.602,0.09780799999999994,0.10497200000000005,0.795214,-0.024606599999999985
186264,7703,544,1421,14.159926470588278,0.17,0.0,0.15525,0.08783999999999999,0.7569199999999998,0.09626299999999999
113400,1049,20,297,52.44999999999991,10.65,1.12,0.28096000000000004,0.08887,0.6301999999999999,0.26230200000000004
133419,6825,195,285,35.0,0.54,0.1225,0.21481999999999996,0.060637500000000004,0.72455,0.23647774999999996
116695,5099,118,588,43.21186440677958,0.18,0.44666666666666666,0.11345666666666664,0.05909333333333335,0.8240799999999997,0.04174666666666666
731408,19564,226,2354,86.56637168141603,0.06,0.03666666666666667,0.12178666666666665,0.10184666666666668,0.7763766666666668,0.06405300000000005
29886,327,227,518,1.4405286343612331,0.58,0.16,0.08556000000000001,0.20547999999999994,0.7089500000000001,-0.2332119999999999
3245085,76257,1685,5182,45.25637982195817,0.09666666666666666,0.11,0.14825333333333335,0.08967999999999998,0.7587399999999997,0.08552500000000006
6450935,431684,6879,20034,62.75388864660613,164.742,4.654,0.15481600000000004,0.06582800000000001,0.7773539999999997,0.15061139999999978
3578130,197198,2988,41119,65.99665327978508,153.3856427378965,4.198664440734557,0.16168614357262098,0.05973455759599335,0.7785742904841398,0.13489532554257094
7016961,921577,12496,132061,73.74975992317555,0.145,0.0,0.19392999999999994,0.08538499999999999,0.720675,0.1990804999999999
1161121,67930,522,7469,130.13409961685826,0.348,0.09,0.20115599999999995,0.05474400000000002,0.7440820000000005,0.2779707999999999
307155,14019,370,1134,37.88918918918925,0.364,0.01,0.25323799999999985,0.061312,0.6854479999999998,0.2566132
856821,10023,1730,2952,5.793641618497116,0.26262626262626265,0.04040404040404041,0.11594949494949493,0.149979797979798,0.7340202020202019,-0.09078282828282828
1327944,13305,448,1166,29.69866071428562,0.675,0.03,0.3422049999999996,0.06463000000000002,0.5831750000000001,0.41058000000000017
169585,10610,63,1109,168.41269841269894,0.04,0.03,0.14494499999999996,0.064265,0.7908100000000003,0.15708
222399,6466,129,828,50.12403100775192,0.51,0.04,0.2156199999999999,0.07461000000000001,0.7097950000000001,0.17423099999999994
251705,20754,130,1098,159.64615384615314,8.35,0.115,0.218,0.050055000000000016,0.7319425000000002,0.26880574999999995
12227,39,102,0,0.38235294117647056,,,0.0,0.0,1.0,0.0
