title,views,likes_x,dislikes,comment_total,L/D,likes_y,replies,poitive_score,negative_score,neutral_score,compound_score
#162 Build your own 50$ connected Geiger Counter (ESP32),10578.0,644.0,9.0,141.0,71.55555555555557,0.6422764227642277,0.8292682926829268,0.21856097560975601,0.0346260162601626,0.7468292682926827,0.3841357723577235
#CakeSlayer Halloween: SPIDER CAKE | Man About Cake with Joshua John Russell,144769.0,7789.0,70.0,902.0,111.27142857142925,0.681704260651629,0.14035087719298245,0.2859398496240602,0.055674185463659126,0.6584160401002505,0.4173230576441103
#ConanIsrael Sneak Peek: Gal Gadot - CONAN on TBS,673005.0,8705.0,1099.0,1036.0,7.920837124658737,0.8777555110220441,0.16032064128256512,0.16320440881763526,0.09262124248496992,0.7441823647294586,0.09896092184368728
#IRMAgerd Hurricane Candy and why it's hard to make candy when it rains.,415382.0,12329.0,469.0,1746.0,26.28784648187628,0.32160804020100503,0.1507537688442211,0.22998492462311548,0.04931155778894472,0.7156733668341708,0.32948743718592965
#WindowsDevDay -  Fluent Design,462552.0,1507.0,262.0,369.0,5.751908396946591,0.2785234899328859,0.08053691275167785,0.1486308724832215,0.08076510067114098,0.7705738255033556,0.12403322147651011
"$1,400 WORTH OF MAKEUP! Applying All My High End Makeup!",312064.0,16937.0,421.0,858.0,40.23040380047497,0.0654911838790932,0.012594458438287154,0.2678387909319898,0.07276574307304787,0.6593879093198993,0.3323853904282115
"$1,700 Apartment Vs. $40,000 Apartment",3369055.0,64351.0,2358.0,5373.0,27.29050042408809,0.07518796992481203,0.022556390977443608,0.11524310776942363,0.05889974937343358,0.8183483709273186,0.13270827067669164
"$10,000 DOG VS. $1 DOG",2904352.0,191585.0,5570.0,16423.0,34.395870736085996,0.14429530201342283,0.1476510067114094,0.13233892617449663,0.10237248322147649,0.758593959731544,0.034601677852348973
"$139 Plane Seat Vs. $24,000 Plane Seat",6734243.0,136597.0,7718.0,11420.0,17.69849701995352,0.10220440881763528,0.004008016032064128,0.16344689378757524,0.060392785571142305,0.7661402805611222,0.1514643286573146
$19 Brunch Vs. $113 Brunch,4678213.0,110685.0,2294.0,12165.0,48.24978204010445,0.10702341137123746,0.006688963210702341,0.1723578595317726,0.04745150501672241,0.7801872909699002,0.20866053511705668
$3 Ramen Vs. $79 Ramen • Japan,7507261.0,169333.0,5801.0,15570.0,29.190312015169525,0.09849749582637729,0.04340567612687813,0.14446744574290485,0.054006677796327215,0.8015208681135224,0.14003756260434042
$3 Seafood Vs. $213 Seafood • Australia,5027180.0,110390.0,2363.0,12177.0,46.71603893355879,48.25125628140704,2.512562814070352,0.13636180904522618,0.059125628140703525,0.8045326633165832,0.1506130653266332
"$399 Suit Vs. $7,900 Suit",3973184.0,78945.0,2909.0,8227.0,27.13819181849431,0.07035175879396985,0.005025125628140704,0.14573869346733676,0.06713065326633166,0.78713567839196,0.13591457286432163
'Harry Styles' Scares Niall Horan,1918219.0,58438.0,861.0,1692.0,67.87224157955839,0.11557788944723618,0.005025125628140704,0.1974221105527638,0.10787437185929646,0.6947085427135679,0.10811557788944726
'I WILL KNOCK OUT ANTHONY JOSHUA!' - KUBRAT PULEV / AND ROUGHS UP & OFFERS TO FIGHT KUGAN CASSIUS!,137388.0,974.0,76.0,691.0,12.815789473684186,0.37373737373737376,0.030303030303030304,0.17415151515151514,0.10202020202020205,0.7238585858585862,0.06554343434343436
'Playboy' Founder Hugh Hefner Dead at 91,44935.0,528.0,45.0,569.0,11.733333333333334,1.1670020120724347,0.41448692152917505,0.12483501006036218,0.18847283702213274,0.6867384305835003,-0.060622736418511076
'The Hills' Stars Heidi Montag and Spencer Pratt Welcome a Baby Boy!,4466.0,54.0,10.0,24.0,5.400000000000002,1.1666666666666667,0.0,0.2208888888888889,0.034555555555555555,0.7445555555555555,0.2640444444444444
(FULL) Canelo Alvarez vs. Gennady Golovkin Weigh-In | ESPN,494594.0,1757.0,222.0,1573.0,7.91441441441441,0.3333333333333333,0.10101010101010101,0.10950505050505055,0.13135353535353533,0.7591818181818183,-0.025715151515151517
(FULL) Cavaliers’ Isaiah Thomas press conference | 2017 NBA Media Day | ESPN,181333.0,1683.0,60.0,682.0,28.050000000000026,1.0707070707070707,0.35353535353535354,0.15088888888888888,0.12308080808080814,0.726060606060606,0.10078787878787882
(HD) Frankie Muniz and Witney Carson Foxtrot - Dancing With the Stars Premiere,98194.0,639.0,13.0,106.0,49.15384615384618,8.576923076923077,0.4230769230769231,0.2699230769230769,0.09899999999999999,0.6310897435897437,0.2763794871794871
(HD) Lindsey Stirling and Mark Ballas Cha-Cha-Cha - Dancing With the Stars Premiere,69075.0,932.0,32.0,164.0,29.125,7.507462686567164,0.753731343283582,0.25194029850746263,0.0388955223880597,0.7091716417910449,0.3600141791044776
(WOW!) MALIGNAGGI REVEALS MCGREGOR FIGHT TALKS HAPPENING: AL HAYMON'S TALKING TO DANA WHITE,34566.0,129.0,94.0,404.0,1.3723404255319165,1.1717171717171717,0.40404040404040403,0.09721212121212124,0.15791919191919196,0.7449191919191919,-0.15912222222222225
"*NEW* PLAYTESTING MICKEY, MINNIE, AND DONALD",4140.0,185.0,3.0,79.0,61.66666666666669,1.6666666666666667,0.9696969696969697,0.31600000000000006,0.07657575757575757,0.6074545454545456,0.3711939393939394
"1 Million Subscribers, Struggling & STILL Smiling",56164.0,8211.0,55.0,1421.0,149.29090909090888,0.026845637583892617,0.0,0.41061409395973175,0.025328859060402685,0.56403355704698,0.7060302013422822
