title,views,likes_x,dislikes,comment_total,L/D,likes_y,replies,poitive_score,negative_score,neutral_score,compound_score,compound_score_comm
Cyclopia: A Rare Birth Defect That Could Help Cure Cancer,225081,7978,142,537,56.183098591549296,44.0,0.0,0.0,0.0,1.0,0.0,-0.6249
DANCING QUEEN  **RAINBOW**  CUPCAKES - The Scran Line,45488,3016,26,214,116.0,36.0,0.0,0.0,0.0,1.0,0.0,0.0
DANCING QUEEN MACARONS - The Scran Line,72924,3061,96,19,31.885416666666668,65.0,40.0,0.0,0.0,1.0,0.0,0.0
DANGEROUS Jungle Spider!,1319945,38949,533,6768,73.0750469043152,2.0,0.0,0.082,0.099,0.819,-0.1027,-0.628
DARKEST HOUR - Official Trailer 2 [HD] - In Select Theaters November 22nd,1017286,194,19,38,10.210526315789474,9.0,4.0,0.565,0.194,0.242,0.6808,-0.6037
DATE NIGHT MAKEUP TRANSFORMATION TUTORIAL,260864,16837,244,1418,69.00409836065573,362.0,18.0,0.168,0.0,0.832,0.561,0.0
DAY TO DEAD HALLOWEEN DRUGSTORE MAKEUP TUTORIAL | JAMIE GENEVIEVE,103887,4482,132,220,33.95454545454545,63.0,0.0,0.0,0.363,0.637,-0.8659,-0.6486
"DEEP Chinese Street Food Tour in Sichuan, China | BEST BRAIN + RABBIT (Spicy ADVENTURE)",396811,10633,279,1552,38.111111111111114,168.0,75.0,0.353,0.041,0.606,0.9907,0.7125
DEMON HALLOWEEN LOOK | DESI PERKINS,477234,35806,348,4030,102.89080459770115,3.0,0.0,0.2763333333333333,0.023666666666666666,0.7000000000000001,0.7293333333333334,0.0
DENY U by SUPERFRUIT,301553,26242,199,3707,131.86934673366835,58.0,1.0,0.411,0.0,0.589,0.5983,-0.4824
"DID I REALLY BUY SHOES ON EBAY? | YEEZYS, VALENTINO AND STRAIGHT UP COPIES.",785534,29247,624,2218,46.87019230769231,1168.0,77.0,0.261,0.088,0.65,0.9229,0.2263
DIY BAGEL BITE - NORMAL VS GIANT,412603,11750,236,1721,49.78813559322034,546.0,164.0,0.286,0.0,0.714,0.7184,0.0
"DIY Dragon's Beard AKA Edible Hair, Corinne vs. Cooking",1700473,69355,1062,6059,65.3060263653484,3.0,0.0,0.063,0.025,0.912,0.1901,0.0
DIY EDIBLE GEODE - 6 MONTHS TO GROW!!,306292,9801,360,1308,27.225,182.0,56.0,0.188,0.0,0.812,0.5386,0.0
DIY Electric ultralight pt5 (Making the Wings),183208,7486,89,2479,84.11235955056179,46.0,5.0,0.0,0.0,1.0,0.0,0.0
DIY FIVE CRAZY DONUT BURGERS,321770,8430,279,1121,30.21505376344086,407.0,15.0,0.397,0.058,0.545,0.9044,-0.34
DIY Giant Spider AKA Aragog AKA HARRY POTTER HALLOWEEN BIT*HES!,997434,68676,589,6691,116.59762308998302,2510.0,143.0,0.0,0.092,0.908,-0.6303,0.0
"DIY Halloween PIN-SPLOSION! PIZZA SKULLS, FINGER CANDLES, AND BEARS! OH MY",862970,44671,569,3811,78.50790861159929,3.0,0.0,0.0,0.0,1.0,0.0,0.0
DIY KINDA BIG OREO COOKIE,288592,8968,233,1309,38.48927038626609,1018.0,140.0,0.0,0.0,1.0,0.0,0.0
DIY OUIJA NAIL ART *not clickbait* *actual nail art* *emergency*,860317,67153,613,7379,109.54812398042414,906.0,4.0,0.0,0.0,1.0,0.0,0.0
DIY QUEEN - LAURDIY (OFFICIAL MUSIC VIDEO),2874934,235758,16549,29235,14.246057163574838,22580.0,500.0,0.0,0.0,1.0,0.0,0.0
DIY TAYLOR SWIFT #LWYMMD COSTUME // Grace Helbig,158497,11737,137,508,85.67153284671532,3.0,0.0,0.444,0.0,0.556,0.9153,0.6523
DJ Snake - A Different Way (Audio) ft. Lauv,815762,37492,893,1926,41.984322508398655,12.0,0.0,0.0,0.0,1.0,0.0,0.0
DL HUGHLEY ON ESPN-JEMELE HILL CONTROVERSY,146963,2626,364,1292,7.2142857142857135,1.0,0.2608695652173913,0.17760869565217388,0.1596521739130435,0.6627391304347826,-0.10487391304347829,0.0
DOES IT COVER?! Coverproof 24hr+ Wunder2 Foundation {First Impression Review & Demo!},183777,8348,243,678,34.35390946502058,4.0,0.0,0.065,0.176,0.76,-0.6588,0.3578
DOING COLLEEN BALLINGER'S MAKEUP WHILE SHE READS MY 2013 FAN TWEETS TO HER,1214938,65517,1834,3132,35.723555070883314,8.0,2.0,0.0,0.0,1.0,0.0,0.4648
"DON'T Buy The iPhone 8, Buy The iPhone 8.",2915162,146049,29293,21722,4.985798654968764,16760.0,501.0,0.0,0.0,1.0,0.0,0.0
"DUSK TILL DAWN - Zayn ft. Sia | Kirsten Collins, Blake Rose, KHS Cover",662150,47384,776,1969,61.06185567010309,1719.0,67.0,0.2,0.128,0.672,0.4949,0.0
Dad -Daughter Dance Party,66708,230,71,33,3.23943661971831,14.0,2.75,0.0,0.1835,0.8165,-0.2202,0.4019
Dad Reacts to Steelers vs Ravens (Week 4),118569,2745,228,331,12.039473684210526,24.0,2.0,0.546,0.164,0.29,0.837,0.0
Dainá Performing At #YouTubeBlack FanFest Washington D.C  2017,118634,8798,565,1344,15.571681415929204,2.0,0.0,0.3215,0.065,0.614,0.96365,0.0
"Damage from Hurricane Irma at the Magic Kingdom, Walt Disney World",67156,182,7,94,26.0,17.0,0.6666666666666666,0.422,0.0,0.578,0.705,-0.4939
Dancing in 80's Movies Supercut - Vol. 2,15093,210,3,26,70.0,8.0,2.5,0.374,0.0,0.626,0.7483,0.0
"Daniel Brühl, Luke Evans and Dakota Fanning: The Alienist Official Trailer #2 [2018] | TNT",766542,1380,60,163,23.0,67.0,6.0,0.0,0.367,0.633,-0.4404,0.0
Daniel Harrison: The Man Behind the Mustache,333732,11336,280,2371,40.48571428571429,21.0,1.0,0.0,0.0,1.0,0.0,0.0
Daniel and Depression,1670990,291059,750,53117,388.0786666666666,1.0,0.0,0.21566666666666665,0.09833333333333333,0.6860666666666667,0.23782666666666671,-0.5719
Danielle Bradbery - Hello Summer (Instant Grat Video),48507,2464,16,151,154.0,33.0,1.0,0.59,0.0,0.41,0.802,0.0
Danielle Bradbery - Sway,193544,4952,174,317,28.45977011494253,75.0,4.0,0.0,0.0,1.0,0.0,0.0
Danielle Bregoli is BHAD BHABIE “Hi Bich / Whachu Know” (Official Music Video),12115465,379224,135925,66509,2.7899503402611736,16830.0,503.0,0.0,0.0,1.0,0.0,0.0
Danisa Denmark Open 2017 | Badminton SF M3-WS | Tai Tzu Ying vs Ratchanok Intanon,23410,118,19,29,6.2105263157894735,36.0,2.0,0.0,0.324,0.676,-0.34,0.0
Darci Lynne and Terry Fator Deliver An Unbelievable Performance - America's Got Talent 2017,4171468,40172,2041,3018,19.68250857422832,12.0,4.0,0.0,0.0,1.0,0.0,0.5574
Darci Lynne: Kid Ventriloquist Sings With A Little Help From Her Friends - America's Got Talent 2017,480140,16659,538,2121,30.96468401486989,11.0,0.0,0.318,0.0,0.682,0.7902,0.8078
Darius Rucker - Bring It On (Audio),44073,1603,31,99,51.70967741935484,24.0,2.3333333333333335,0.214,0.0,0.786,0.45879999999999993,0.0
Darius Rucker - Life's Too Short (Audio),51914,1880,49,102,38.36734693877551,47.0,2.0,0.286,0.0,0.714,0.7351,0.0
Darius Rucker - Twenty Something (Audio),42644,1591,25,94,63.64,22.0,1.0,0.17,0.209,0.621,-0.1316,0.0
Darkest Hour - Official International Trailer (Universal Pictures) HD,631815,401,12,110,33.416666666666664,44.0,8.0,0.0,0.0,1.0,0.0,-0.4939
Das aCar auf der IAA,38209,62,120,160,0.5166666666666667,96.0,8.333333333333334,0.0,0.0,1.0,0.0,0.0
Date Meal  [pasta] - You Suck at Cooking (episode 66),613640,25595,350,1968,73.12857142857143,5.0,0.0,0.069,0.201,0.73,-0.5574,-0.4404
Dating A Bisexual,231084,15151,1319,2328,11.486732373009856,3.0,0.0,0.0,0.0,1.0,0.0,0.0
Dating the IT Clown | Hannah Stocking,3619723,127552,4725,5506,26.995132275132274,7.0,0.0,0.293,0.195,0.512,0.4767,0.0
Dave East - Perfect ft. Chris Brown,1642455,49398,718,1697,68.79944289693593,10.0,1.0,0.225,0.0,0.775,0.4404,0.5719
Dave Franco Had a Weed Cookie-Induced Panic Attack at His Surprise Party,459669,8920,159,637,56.100628930817614,10.0,2.0,0.238,0.0,0.762,0.3612,-0.3818
"Dave Franco, Kumail Nanjiani and Fred Armisen Answer the Web's Most Searched Questions | WIRED",323563,6553,128,418,51.1953125,10.0,0.0,0.512,0.0,0.488,0.6369,0.0
Dave Grohl as Christopher Walken,261483,2045,25,61,81.8,110.0,0.0,0.588,0.0,0.412,0.6908,0.0
David Archuleta - Invincible (Official Lyric Video),69363,4321,27,297,160.03703703703704,15.0,0.0,0.467,0.0,0.533,0.9313,0.4939
David Guetta ft Justin Bieber - 2U (Official Video),1894817,83607,3834,4344,21.806729264475745,27.0,2.0,0.319,0.0,0.681,0.9382,0.0
David Lynch Commencement Address at the 2016 MUM Graduation,7503,83,6,94,13.833333333333334,0.0,76.0,0.0,0.0,1.0,0.0,0.0
Day at the Beach - Mayor Steve Fulop,18614,146,10,17,14.6,4.0,3.5,0.0,0.0,1.0,0.0,0.0
DeJ Loaf - Changes (Audio),51653,2866,49,186,58.48979591836735,52.0,3.0,0.0,0.0,1.0,0.0,0.0
Dealing with Cancer (This is my SECRET),251907,11072,156,2004,70.97435897435898,483.0,17.0,0.0,0.0,1.0,0.0,-0.6597
"Dejounte Murray Full Highlights 2017.10.18 vs Timberwolves - 16 Pts, 7-8 FGM!",44441,656,12,274,54.666666666666664,179.0,13.0,0.0,0.0,1.0,0.0,0.0
Demetrious Johnson vs Ray Borg | Highlights | UFC 216,370255,2020,403,1190,5.012406947890819,91.0,4.0,0.444,0.0,0.556,0.34,0.0
Demi Lovato - Cry Baby (Audio Snippet),98963,9676,115,661,84.13913043478261,17.0,0.0,0.0,0.0,1.0,0.0,-0.4767
Demi Lovato - Sorry Not Sorry (Vevo X Demi Lovato),1304773,88510,554,2497,159.76534296028882,43.0,2.0,0.454,0.0,0.546,0.8743,-0.1531
Demi Lovato Plays With Puppies (While Answering Fan Questions),464502,20458,288,1175,71.03472222222223,5.0,0.0,0.392,0.0,0.608,0.5949,0.5106
Demi Lovato Reacts to Demi Lovato's Childhood Videos,776801,22694,331,813,68.5619335347432,2.0,0.0,0.0,0.0,1.0,0.0,0.0
"Demi Lovato performing 'With A Little Help From My Friends' at Hand In Hand - September 12, 2017",88447,1774,67,176,26.47761194029851,172.0,5.0,0.0,0.091,0.909,-0.128,0.8981
Demi Lovato: Simply Complicated - Official Documentary,5414714,315287,3382,23559,93.22501478415138,4.0,0.0,0.164,0.0,0.836,0.77,0.0
Demi Lovato: Simply Complicated - Official Trailer - Coming to YouTube Oct 17th,920485,47869,721,1911,66.39251040221914,12.0,0.5,0.2295,0.149,0.6214999999999999,0.17439999999999997,0.0
Dentist Creates New Type of Veneers,206053,3715,53,194,70.09433962264151,703.0,7.0,0.0,0.0,1.0,0.0,0.2732
Depeche Mode - Cover Me,266816,10184,189,828,53.883597883597886,6.0,0.0,0.0,0.0,1.0,0.0,0.0
Depeche Mode - Heroes (Highline Sessions Version),605387,21737,466,1329,46.64592274678112,3.0,0.0,0.313,0.0,0.687,0.6239,0.5106
Derrick Rose Press Conference,43947,348,29,166,12.0,90.0,2.0,0.0,0.0,1.0,0.0,0.0
Designer builds efficient off-grid Passive House in Colorado,128403,3799,96,392,39.572916666666664,8.0,0.0,0.5,0.0,0.5,0.8744,0.5574
Detik Detik Terjadinya Benturan Keras Choirul Huda Kiper Persela Lamongan,899262,906,707,1265,1.2814710042432815,2.0,0.0,0.0,0.0,1.0,0.0,0.0
Detroit Pistons | #Trending: Eminem Surprises LCA Crowd,614317,4167,3430,2570,1.2148688046647231,71.0,10.0,0.0,0.0,1.0,0.0,0.2263
Diabulimia: The World's Most Dangerous Eating Disorder,497346,6474,121,722,53.50413223140496,11.0,0.0,0.103,0.186,0.71,-0.4231,-0.7474
Did The Las Vegas Gunman Act Alone?,94736,221,77,504,2.8701298701298703,30.0,0.0,0.0,0.0,1.0,0.0,-0.25
Did You Call My Girl!? | Anwar Jibawi,3181840,109643,2638,4965,41.56292645943897,5787.0,470.0,0.0,0.0,1.0,0.0,0.0
Did the Las Vegas shooter plan a different attack?,547977,1771,636,2260,2.7845911949685536,9.0,0.0,0.214,0.0,0.786,0.504,-0.4767
Didi homers twice as Yanks advance to ALCS: 10/11/17,253110,1671,198,742,8.43939393939394,2.0,0.0,0.293,0.042,0.6655,0.6396999999999999,0.0
Dillon Francis Hurts His Body with Spicy Wings | Hot Ones,773318,25113,460,2856,54.59347826086957,3.0,0.0,0.10733333333333334,0.09300000000000001,0.7996666666666666,0.012666666666666678,-0.4767
Dimitri Vegas & Like Mike vs David Guetta feat. Kiiara - Complicated (R3HAB Remix),141901,8812,147,258,59.945578231292515,31.0,0.0,0.577,0.0,0.423,0.8977,0.3612
Disney Rides That Should Get Their Own Movie (w/ Max Landis)!!! - Millennial Falcon,115271,3533,430,1055,8.216279069767442,30.0,3.0,0.3,0.0,0.7,0.9483,0.0
Disney Villain Lipsticks! - First Impression Friday,332765,14576,234,1060,62.29059829059829,1.0,0.0,0.1995,0.0,0.8005,0.4037,-0.4574
Divided island: How Haiti and the DR became two worlds,598144,31999,2228,5286,14.362208258527827,2292.0,190.0,0.105,0.0,0.895,0.5707,0.0
Diving with Sea Turtles!,491160,18080,236,3070,76.61016949152543,4.0,0.0,0.094,0.0,0.906,0.7096,0.1511
Do We Have Free Will or Are We Predetermined?,132374,4924,423,936,11.64066193853428,3.0,1.0,0.0485,0.0,0.9515,0.40235,0.5106
Does Maggie Gyllenhaal Have Taylor Swift’s Scarf? | WWHL,163494,332,64,124,5.1875,123.0,2.0,0.512,0.0,0.488,0.743,0.0
Does the Ultra Boost Get Less Comfortable?,49074,1606,47,201,34.170212765957444,61.0,1.0,0.215,0.0,0.785,0.6369,0.6915
Dog Accidentally Pushes Owner off Boat,8886,82,2,15,41.0,4.0,0.0,0.234,0.206,0.561,0.0772,-0.34
Dog Reunites With Best Friend | The Dodo,246636,5949,121,395,49.16528925619835,84.0,111.0,0.179,0.0,0.821,0.5068,0.8126
Dog Spells Her Name!,3680,10,2,6,5.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0
Don Lemon Praises ‘Chunky’ CNN Reporter Facing Irma Wrath: ‘Nothing Wrong With a Little Curve’,123000,132,27,96,4.888888888888889,15.0,1.0,0.371,0.0,0.629,0.5473,0.0772
Don't Say Velcro,384001,5960,2119,105,2.8126474752241624,927.0,11.0,0.0,0.0,1.0,0.0,0.0
Donald Glover Emmys Speech Wins Outstanding Actor in a Comedy,5551,103,114,53,0.9035087719298246,33.0,0.0,0.0,0.0,1.0,0.0,0.8807
Donald Glover wins Emmy Award for Lead Actor 2017,268536,4091,911,1795,4.490669593852909,64.0,21.0,0.081,0.378,0.541,-0.872,0.802
"Donald Trump Hits John McCain, Kaepernick, North Korea, & More At Wild Rally | The 11th Hour | MSNBC",59508,430,117,534,3.675213675213675,8.0,2.0,0.0,0.0,1.0,0.0,0.0
Donald Trump: NFL Owners Should Fire Players Who 'Disrespect The Flag' | The Last Word | MSNBC,147639,1073,1107,2123,0.969286359530262,2.0,0.0,0.235,0.108,0.657,0.2723,-0.6369
Donald Trump’s Cringe-Worthy Attempt To Date Brooke Shields | WWHL,504791,1726,2406,1097,0.7173732335827099,17.0,1.0,0.0,0.375,0.625,-0.5574,0.0
Doom and Wolfenstein 2 for Switch Announcement Trailer,30846,453,17,435,26.647058823529413,135.0,10.0,0.244,0.0,0.756,0.4404,-0.4019
Downsizing (2017) - Official Trailer - Paramount Pictures,3447192,12246,535,1743,22.889719626168223,3.0,0.0,0.032,0.1935,0.775,-0.5146,0.0
Dragon Age Inquisition - The Dawn Will Come - Peter Hollens Virtual Choir feat. 500+ Patrons!,120042,10721,64,1903,167.515625,191.0,19.0,0.217,0.0,0.783,0.9458,-0.3595
Dramatic Vampy Fall Makeup Tutorial,251501,20853,204,1497,102.22058823529412,3.0,0.0,0.212,0.0,0.788,0.6166,0.0
Drawing Weird Australian Phrases (Feat. Draw with Jazza) (mate),2206513,91418,1002,17577,91.23552894211576,17.0,1.0,0.229,0.0,0.771,0.3971,-0.1779
Draymond Green: I don't know how serious the Rockets take defense,101714,217,181,256,1.1988950276243093,134.0,4.0,0.0,0.778,0.222,-0.7906,0.1833
Dressing up my Cats in Holoween Costumes,1052187,80252,917,14956,87.51581243184296,3.0,0.0,0.355,0.178,0.467,0.4404,0.0
Dried up Beach in the Bahamas,1297769,2727,514,934,5.30544747081712,5.0,0.0,0.0,0.0,1.0,0.0,0.0
"Drivers fight after crash at Anderson, Indiana race",281363,639,175,610,3.6514285714285712,59.0,3.0,0.0,0.473,0.527,-0.5562,-0.6486
"Driving was illegal for women in Saudi Arabia, but Manal Al Sharif did it anyway | The Economist",18941,239,84,188,2.8452380952380953,62.0,4.0,0.156,0.0,0.844,0.2584,-0.3182
Drone Down!!,46954,27,14,6,1.9285714285714286,7.0,0.0,0.211,0.0,0.789,0.1531,0.0
"Drone captures aftermath of Hurricane Irma in Naples, Florida",489523,954,139,602,6.863309352517986,45.0,16.0,0.342,0.222,0.436,0.3182,0.0
Dropgun - Little Drop (Official Music Video),200676,11690,328,461,35.640243902439025,9.0,1.0,0.0,0.0,1.0,0.0,-0.204
Drowning for Power - Rooster Teeth Animated Adventures,986576,26725,759,1124,35.210803689064534,1.0,0.11428571428571428,0.12622857142857144,0.11522857142857144,0.7585428571428572,0.04582857142857144,0.34
Drugstore/Affordable Fall Makeup Tutorial | Jaclyn Hill,948523,55513,1998,7267,27.784284284284283,6.0,0.0,0.191,0.136,0.673,0.4576,0.0
Dua Lipa x Gallant // In The Room // Episode 6,216293,13050,63,483,207.14285714285714,102.0,0.0,0.226,0.0,0.774,0.5423,0.4019
Dwight Howard Handles Ball up the Floor and gets And-1 Dunk - Hornets v Pistons NBA Preseason,63051,27,5,4,5.400000000000001,1.0,0.0,0.0,0.0,1.0,0.0,0.0
DxOMark Smartphone Ratings: Explained!,1184130,71650,1013,6563,70.7305034550839,3.0,0.0,0.18700000000000003,0.0,0.8130000000000001,0.3596333333333333,0.0
EASY Add 200+ Games To SNES  Classic Mini HackChi 2.20 is LIVE!!!,35659,1018,14,394,72.71428571428571,46.0,11.0,0.21,0.056,0.734,0.8194,0.6714
EASY SKULL HALLOWEEN MAKEUP TUTORIAL,204968,11141,301,1165,37.01328903654485,4.0,0.0,0.307,0.0,0.693,0.4767,0.4404
EAT | Double Chocolate Zucchini Cake (Gluten and Dairy Free!),108839,3572,48,395,74.41666666666667,70.0,5.0,0.366,0.0,0.634,0.6166,0.0
EDEN - start//end (official video),310565,27709,151,3382,183.50331125827816,11.0,0.0,0.293,0.0,0.707,0.6597,0.0
ELDERS REACT TO RUPAUL’S DRAG RACE,857365,33178,917,4743,36.18102508178844,445.0,202.0,0.139,0.0,0.861,0.8607,-0.2263
EMMY FASHION REVIEW // Grace Helbig,217624,15050,57,614,264.03508771929825,1.0,0.6666666666666666,0.25433333333333336,0.049999999999999996,0.6956666666666665,0.22076666666666664,0.4215
ESPN College Gameday on Mike Francesa slamming Penn State coach for calling timeout on FG up 56,36554,97,9,38,10.777777777777779,15.0,5.0,0.0,0.0,1.0,0.0,0.0
ET SI GAME OF THRONES ÉTAIT UN ANIME ? - MALEC,1130686,27399,342,2553,80.1140350877193,74.0,9.0,0.0,0.0,1.0,0.0,0.0
ETERNITY CALVIN KLEIN,105600,851,18,104,47.27777777777778,53.0,0.0,0.425,0.0,0.575,0.8341,0.0
EVERY HAUNTED HOUSE EVER,1044555,38709,1693,3648,22.864146485528646,3.0,0.0,0.0,0.231,0.769,-0.34,-0.4767
EVERY HIGH SCHOOL CLIQUE EVER,1584027,52085,1839,2928,28.322457857531266,25.0,7.0,0.0,0.0,1.0,0.0,0.0
EVERY MCDONALD'S EVER,2318203,64553,6770,7843,9.535155096011817,5.0,0.0,0.0,0.0,1.0,0.0,0.0
EVERYTHING I'VE BEEN OBSESSED WITH | Gigi,217336,6399,442,566,14.47737556561086,74.0,1.0,0.0,0.0,1.0,0.0,-0.347
EXCITED Dogs in Car Can't Stop Howling For The Park | The Dodo,100082,3048,60,229,50.79999999999999,10.0,0.0,0.217,0.26,0.523,-0.2895,0.615
EXCLUSIVE: HTC U11 Plus Leaked 360 Degree Renders,75345,84,3,10,28.0,2.0,2.0,0.050666666666666665,0.0,0.9493333333333333,0.1084,-0.0173
EXCLUSIVE: Tamar Braxton Explains Why 'Bluebird of Happiness' Will Be Her Last Album Ever,26060,323,12,145,26.916666666666668,68.0,15.0,0.167,0.0,0.833,0.6124,0.7034
EXCLUSIVE: Zonnique - Patience [Teaser],5662,33,21,13,1.5714285714285714,6.0,1.0,0.161,0.42,0.42,-0.5719,0.3034
EXPLORING MEMES WITH MY BOYFRIEND,82935,5885,194,341,30.335051546391753,17.0,0.0,0.0,0.0,1.0,0.0,0.0
EXPOSED: Model Poses That Deceive You On Instagram,57349,2697,17,139,158.64705882352942,103.0,1.0,0.35,0.0,0.65,0.9163,-0.5766
EXTREME PUMPKIN CARVING | for National Coming Out Day,109832,9246,51,945,181.2941176470588,10.0,0.0,0.049,0.067,0.884,0.0258,0.0
EXTREME SOUR CANDY CHALLENGE *LIVE*,291099,12776,519,2492,24.61657032755298,1.0,0.0,0.24525000000000002,0.0,0.7547499999999999,0.2484875,0.0772
"Early THOR Reactions Are Outstanding, Zelda Movie Chances - The John Campea Show",29894,1249,49,810,25.489795918367346,8.0,0.0,0.42,0.0,0.58,0.6989,0.7003
Easy & Glam GLOSSY SKULL Halloween Makeup Tutorial,171369,9609,163,305,58.95092024539877,29.0,3.0,0.0,0.202,0.798,-0.6219,0.4404
"Eat, Clay, Love | Original Short Film",383713,58657,950,5247,61.74421052631579,4.0,0.0,0.21,0.188,0.602,0.7358,0.7579
Eater's Top 5 Favorite Barbecue Joints In America — The Meat Show,43518,597,252,171,2.369047619047619,94.0,9.0,0.0,0.23,0.77,-0.5562,0.5859
Eating The WHOLE Animal! NINE Course NOSE to TAIL Feast in Singapore,265279,7939,182,741,43.620879120879124,2.0,0.0,0.372,0.0,0.628,0.6948,0.0
Echosmith - Get Into My Car [Official Music Video],538312,13722,605,1138,22.68099173553719,4.0,0.0,0.363,0.0,0.637,0.8399,0.0
Echostar 105 / SES-11 Launch Webcast,413406,9243,127,1138,72.77952755905511,25.0,5.0,0.162,0.351,0.486,-0.5423,0.0
Ed Sheeran - Perfect [Official Lyric Video],9697462,461378,4812,18482,95.880714879468,7.0,3.0,0.385,0.0,0.615,0.6124,0.5719
Eggs Baked in Hash Browns | Gordon Ramsay,2110249,57770,1533,5017,37.6842791911285,30.0,0.0,0.0,0.0,1.0,0.0,0.0
Either the Cat Goes or I Do | HOT DATE,242913,10385,325,1002,31.953846153846154,3.0,0.0,0.118,0.192,0.689,-0.3599,0.0
El ridículo penal de Teo Gutiérrez. Junior-Tigres,411396,148,42,152,3.5238095238095237,39.0,4.0,0.0,0.0,1.0,0.0,0.0
Eli Lieb - Kissing Your Tattoos (Lyric video),15798,1567,10,133,156.7,176.0,34.0,0.545,0.0,0.455,0.717,0.5719
Ellen & Oprah Take Over a Grocery Store Part 1,2438448,40682,1104,1632,36.84963768115942,4.0,0.0,0.0,0.0,1.0,0.0,0.0
Elon Musk: We're Going to Mars by 2024,264945,12398,289,2449,42.89965397923876,532.0,57.0,0.0,0.09,0.91,-0.1511,0.0
Emily's Recommended Reading!,23851,1984,17,353,116.70588235294117,44.0,0.0,0.309,0.0,0.691,0.8697,0.2714
Eminem Rips Donald Trump In BET Hip Hop Awards Freestyle Cypher,33191594,982842,184310,337603,5.3325484238511205,28.0,2.0,0.0,0.0,1.0,0.0,0.5719
Emmalyn - Self Care (Official Music Video),4108,421,4,45,105.25,16.0,1.0,0.501,0.0,0.499,0.8758,0.4939
Emmy Awards 2017 Post Show - TV Talk,30899,1124,102,245,11.019607843137255,82.0,3.0,0.392,0.042,0.566,0.9927,0.4588
Emmys 2017 Red Carpet Live By People & Entertainment Weekly | PeopleTV,38423,226,107,64,2.1121495327102804,20.0,8.0,0.0,0.256,0.744,-0.7845,0.4215
Emmys 2017 Red Carpet Live By People & Entertainment Weekly | PeopleTV | TIME,83692,312,218,116,1.4311926605504588,36.0,4.0,0.0,0.0,1.0,0.0,0.4215
Emmys 2017 Stephen Colbert Monologue Featuring Sean Spicer,724897,6277,2331,2197,2.692835692835693,78.0,8.0,0.0,0.0,1.0,0.0,0.0
Emmys 2017: 'This Is Us' Star Sterling K. Brown Says It's 'Crazy' People Think He's Sexy,3300,34,2,89,17.0,3.0,37.75,0.677,0.0,0.323,0.2732,0.5267
Enter Forever 21's Beauty Funland,242693,6258,116,479,53.94827586206897,65.0,9.0,0.234,0.159,0.607,0.1531,0.5859
Enter Shikari - Rabble Rouser (official promo video),191060,5387,408,563,13.20343137254902,90.0,3.0,0.318,0.0,0.682,0.8349,0.0
Equally sharing a cake between three people - Numberphile,414159,12245,984,1602,12.44410569105691,187.0,48.0,0.207,0.087,0.706,0.7269,0.4215
Equifax: Last Week Tonight with John Oliver (HBO),4004632,73813,2767,5993,26.676183592338273,2.0,0.0,0.09899999999999999,0.10433333333333333,0.7966666666666665,-0.054933333333333334,0.0
Era Istrefi - No I Love Yous feat. French Montana (Official Video) [Ultra Music],1761586,31360,1997,2737,15.7035553329995,16.0,5.0,0.177,0.0,0.823,0.68,0.4588
"Eric Church - Why Not Me | October 4, 2017",6078326,36535,2939,3101,12.43109901326982,75.0,2.0,0.454,0.0,0.546,0.8743,0.0
Essential Kitchen Tools | Basics with Babish,873704,54663,639,3854,85.54460093896714,1.0,0.0,0.034999999999999996,0.11492307692307693,0.8500769230769231,-0.20695384615384618,0.0
Essential Phone Drop Test - TITANIUM and CERAMIC vs. GRAVITY!,437796,20699,312,2277,66.34294871794872,2.0,0.0,0.0,0.0,1.0,0.0,-0.3382
Every Cat At 3AM,1159836,41168,1411,2424,29.176470588235293,1751.0,69.0,0.312,0.0,0.688,0.6739,0.0
"Every Recycled Disney Shot & Why - Snow White, Frozen, Toy Story, Moana and More - Cartoon Hangover",192301,5521,200,479,27.605,177.0,1.0,0.112,0.16,0.728,-0.2466,0.0
Every Tinder Ever,1083704,19353,919,1294,21.058759521218715,44.0,1.0,0.343,0.0,0.657,0.7365,0.0
Everything From the Google Pixel Event | WIRED,281779,4781,196,806,24.392857142857142,3.0,0.0,0.062,0.26819999999999994,0.6698,-0.22237999999999997,0.0
Everything Wrong With Alien: Covenant In 16 Minutes Or Less,1640353,38242,1160,6931,32.967241379310344,2.0,0.0,0.0,0.246,0.754,-0.3340666666666667,-0.4767
Everything Wrong With Friday the 13th Part 2,969749,23072,447,3871,51.615212527964204,23.0,3.0,0.47,0.0,0.53,0.7351,-0.4767
Everything Wrong With Scream 2 In 19 Minutes Or Less,1010248,22459,550,3631,40.834545454545456,3.0,0.0,0.0,0.659,0.341,-0.5951,-0.7003
Everything Wrong With The LEGO Batman Movie,2629650,61164,2890,9409,21.16401384083045,3.0,2.0,0.0,0.0,1.0,0.0,-0.4767
Everything You Missed In The Last Jedi Trailer,1099806,8116,688,1685,11.796511627906977,154.0,56.0,0.0,0.0,1.0,0.0,-0.296
"Everything You Need to Know About The Last Dab, the Hottest Sauce on Hot Ones",731408,19564,226,2354,86.56637168141593,2.0,0.0,0.296,0.0,0.704,0.6369,0.0
Everytime The Beat Drops With The Chainsmokers | Ranz and Niana,429424,28624,291,2208,98.36426116838489,3.0,0.0,0.0,0.0,1.0,0.0,0.0
