title,views,likes_x,dislikes,comment_total,L/D,likes_y,replies,poitive_score,negative_score,neutral_score,compound_score,compound_score_comm
After Hours: 6 Movies Whose Timelines Don't Add Up,410406,14671,344,1407,42.64825581395349,2.0,0.0,0.0,0.161,0.839,-0.5859,0.0
After Multiple Incidents Vandal Receives Karmic Retribution,160876,203,7,43,29.0,21.0,0.0,0.435,0.0,0.565,0.6597,0.0
After Show: Lea Michele Rates John Stamos’ Kiss | WWHL,30643,179,24,28,7.458333333333333,19.0,2.0,0.0,0.612,0.388,-0.7434,0.4215
Aladdin Makes No Sense,529542,18782,1273,3304,14.754124116260801,1094.0,500.0,0.379,0.0,0.621,0.5972,-0.296
Alec Benjamin - Gabriel (MUSIC VIDEO),54158,7129,33,1347,216.03030303030303,530.0,47.0,0.158,0.0,0.842,0.7627,0.0
Alec Benjamin - The Wolf and the Sheep (Rough),31524,4353,4,1245,1088.25,445.0,46.0,0.0,0.0,1.0,0.0,0.0
Alesso & Anitta - Is That For Me (Official Music Video),14849524,618436,108966,84942,5.675495108565975,21.0,0.0,0.0,0.068,0.932,-0.2732,0.0
Alex Aiono - Does It Feel Like Falling ft. Trinidad Cardona,293290,23521,203,1002,115.86699507389163,12.0,3.0,0.412,0.0,0.588,0.6369,0.2263
"Alex Aiono, Trinidad Cardona - Does It Feel Like Falling (Audio)",131778,13029,65,857,200.44615384615383,38.0,1.0,0.124,0.125,0.751,0.8941,0.2263
Alexa: Guess My Number,934381,10270,878,791,11.697038724373577,218.0,3.0,0.294,0.0,0.706,0.3612,0.0772
Alias Grace | Official Trailer [HD] | Netflix,349856,4403,140,335,31.45,89.0,4.0,0.0,0.0,1.0,0.0,0.4215
All I See Is You | Official Trailer | In Theaters October 27,2513448,4142,244,432,16.975409836065573,153.0,5.0,0.226,0.302,0.472,-0.2023,0.0
All Night Long at The Airport,1327944,13305,448,1166,29.698660714285715,92.0,1.0,0.351,0.108,0.541,0.6696,0.0
Allergic - Cyanide & Happiness Shorts,1568371,58222,3631,3332,16.034701184246764,85.0,2.0,0.0,0.0,1.0,0.0,0.34
Almost 600 Border Collies Gather in Attempt to Break World Record,178998,2149,113,516,19.01769911504425,205.0,5.0,0.266,0.0,0.734,0.4404,0.0
Almost Like Praying (feat. Artists for Puerto Rico),144330,5453,200,448,27.265,150.0,5.0,0.062,0.01,0.928,0.9279,0.5313
Alok & Mathieu Koss - Big Jet Plane (Official Lyric Video),292385,16690,415,606,40.21686746987952,13.0,1.0,0.326,0.0,0.674,0.743,0.0
Alvaro Morata scores his third goal for Chelsea,2831,32,3,3,10.666666666666666,9.0,0.0,0.0,0.0,1.0,0.0,0.0
Aly & AJ - Take Me,276034,13739,449,1039,30.599109131403118,17.0,0.0,0.683,0.0,0.317,0.8982,0.0
Am I A Fish?,424809,13647,649,1535,21.02773497688752,2.0,0.0,0.1955,0.0,0.8045,0.3348,0.0
American Horror Story: CULT BEE HIVE,599780,29851,299,453,99.8361204013378,10.0,1.0,0.309,0.0,0.691,0.7799,-0.5719
American Made by Upchurch (OFFICIAL MUSIC VIDEO),400322,13386,754,1912,17.753315649867375,8.0,2.0,0.411,0.0,0.589,0.5399,0.0
American VS French Makeup Tutorial,824176,40040,429,4160,93.33333333333333,64.0,1.0,0.278,0.028,0.694,0.958,0.0
An Englishman Plays Risk - Foil Arms and Hog,203605,7497,130,373,57.66923076923077,4.0,2.0,0.488,0.0,0.512,0.27226666666666666,-0.0258
An Unfortunate Fortune,371975,13095,251,1497,52.17131474103586,9.0,1.0,0.0,0.0,1.0,0.0,-0.4588
Anatomy of a Scene from Battle of the Sexes,10195,140,19,37,7.368421052631579,14.0,10.0,0.0,0.0,1.0,0.0,-0.3818
Andrew Garfield Says The World Doesn't Need Movie Stars,283117,4359,198,799,22.015151515151516,18.0,0.0,0.241,0.0,0.759,0.5859,0.0
Angelica Hale: 10-Year-Old Singer Blows The Audience Away - America's Got Talent 2017,2422328,40269,1631,4766,24.68976088289393,28.0,1.0,0.0,0.0,1.0,0.0,0.4215
Angry Ex-Girlfriend Gets Revenge,29290,38,12,29,3.1666666666666665,9.0,0.0,0.259,0.0,0.741,0.4215,-0.7717
Animal Adventure Park Giraffe Cam,23122,1690,21,47,80.47619047619048,2.0,0.0,0.427,0.0,0.573,0.8658,0.3182
Anne-Marie - Heavy [Official Audio],173619,11896,124,698,95.93548387096774,2.0,0.0,0.0,0.0,1.0,0.0,0.0
Annihilation (2018) - Teaser Trailer - Paramount Pictures,5651983,28959,2729,3467,10.611579333089043,14.0,0.0,0.187,0.0,0.813,0.3182,-0.25
Announcement of the Nobel Prize in Chemistry 2017,65134,406,9,18,45.111111111111114,2.0,0.0,0.503,0.074,0.423,0.8442,0.5106
Answering Your Questions! #QandGay,100016,6696,78,679,85.84615384615384,2.0,1.0,0.11875000000000001,0.065,0.81625,0.611775,0.0
Apple Watch Series 3 hands on,48585,235,14,116,16.785714285714285,13.0,6.0,0.0,0.0,1.0,0.0,0.0
Apple Watch Series 3 hands-on live from Apple Event 2017,65650,403,57,175,7.0701754385964914,42.0,9.0,0.0,0.067,0.933,-0.2382,0.0
Apple Watch Series 3 with LTE review,408946,6387,715,835,8.932867132867132,3.0,0.0,0.358,0.236,0.405,0.2023,0.0
Apple iPhone X first look,4804702,35719,7384,13127,4.837351029252438,77.0,0.0,0.0,0.0,1.0,0.0,0.0
Arctic Foxes Destroy Filmmaker's Camera,278953,415,10,32,41.5,15.0,0.0,0.643,0.0,0.357,0.8019,-0.5423
"Arcus3D C1 - It moves, kinda",4785,20,1,2,20.0,0.0,0.0,0.517,0.123,0.361,0.7552,0.0
Are You In A Simulation?,1154869,63803,1201,6289,53.12489592006661,2344.0,176.0,0.0,0.0,1.0,0.0,0.0
Are you a body with a mind or a mind with a body? - Maryam Alimardani,363658,15622,354,1818,44.12994350282486,246.0,70.0,0.118,0.0,0.882,0.7622,0.0
Are you basic? (YIAY #360),1270345,70827,695,6036,101.90935251798561,1608.0,169.0,0.0,0.0,1.0,0.0,0.0
Arnold Set off to the Center of the Earth,2286970,80567,2996,12155,26.891522029372496,7.0,43.0,0.0,0.275,0.725,-0.3447,0.0
Arnold Was Hit With 1000000 Volts,2118042,61145,3064,10027,19.955939947780678,2264.0,414.0,0.0,0.0,1.0,0.0,0.0
Artie Lange Is Raw and Uncensored While Eating Spicy Wings | Hot Ones,728327,20674,721,4921,28.67406380027739,2.0,0.0,0.0,0.0,1.0,0.0,0.0
Artist Makes Amazing Fashion Illustrations,64942,1919,30,65,63.96666666666667,109.0,4.0,0.289,0.0,0.711,0.2577,0.5859
Asi se vivió el sismo de 7.1 en México #cdmx,34568,15,1,12,15.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0
Asiah Collins & Crystal Smith Get Into a Shouting Match | The Platinum Life | E!,36652,181,30,36,6.033333333333333,37.0,4.0,0.0,0.0,1.0,0.0,0.0
Audi Think Faster: Episode 2 Featuring Elizabeth Banks,37915,192,44,42,4.363636363636363,6.0,0.0,0.0,0.123,0.8770000000000001,-0.1027,0.0
Autumn Homeware Haul | Zoella,1047285,70497,700,4769,100.71,790.0,6.0,0.0,0.0,1.0,0.0,0.0
Autumn Makeup Tutorial for Straight Men,257147,32080,466,4065,68.8412017167382,3656.0,56.0,0.301,0.03,0.669,0.9108,0.2263
Avenged Sevenfold - As Tears Go By,433708,24188,712,2383,33.97191011235955,6.0,0.0,0.0,0.0,1.0,0.0,-0.2263
Avicii - Lonely Together ft. Rita Ora,3738634,134196,2032,4062,66.04133858267717,7.0,0.0,0.0,0.0,1.0,0.0,-0.3612
Avicii - Without You (Otto Knows Remix) ft. Sandro Cavazza,677464,17379,310,842,56.061290322580646,9.0,0.0,0.818,0.0,0.182,0.6689,0.0
BACK TO SCHOOL MAKEUP TUTORIAL IN 10 EASY STEPS,308433,24520,362,1176,67.73480662983425,1263.0,210.0,0.302,0.0,0.698,0.8602,0.5622
BACK TO SCHOOL OUTFIT IDEAS // Grace Helbig,173696,15463,148,742,104.47972972972973,5.0,0.0,0.224,0.144,0.633,0.4386,0.4215
BAD PARENTS,1501577,54075,1927,3378,28.061754021795537,14.0,0.0,0.61,0.0,0.39,0.6909,-0.5423
BANKS - Underdog (Audio),201346,12556,103,875,121.90291262135922,23.0,0.0,0.0,0.0,0.0,0.0,0.0
BATTLEGROUNDS The Movie! (Official Fake Trailer),3059399,201647,3492,17160,57.745418098510875,1.0,0.0,0.21347058823529413,0.08399999999999999,0.702529411764706,0.14992941176470584,-0.6932
BBC Anchor Gets LOST on Camera (News Blooper),273256,2408,121,263,19.90082644628099,72.0,3.0,0.0,0.0,1.0,0.0,-0.4648
BBQ Grass 2stroke Bubbles HotTub Car Final Touches,1600386,53753,1295,2929,41.50810810810811,1149.0,251.0,0.152,0.066,0.783,0.8693,0.0
BF/GF PRANK WARS HAVE BEGUN!,1079628,42068,1178,4105,35.711375212224105,2.0,0.0,0.2144,0.0628,0.7228,0.20132,-0.5983
BFF TAG w VANESSA MORGAN (Toni Topaz) | Madelaine Petsch,136988,13292,59,1415,225.28813559322035,2.0,0.0,0.4746666666666666,0.0,0.5253333333333333,0.6590333333333334,0.6841
BFR | Earth to Earth,2604207,47102,1033,8434,45.5972894482091,30.0,2.0,0.216,0.187,0.597,0.1027,0.0
