video_id,title,channel_title,category_id,tags,views,likes_x,dislikes,comment_total,thumbnail_link,date,L/D,comment_text,likes_y,replies,poitive_score,negative_score,neutral_score,compound_score
RlduVwzqK2o,73 Questions With Tracee Ellis Ross | Vogue,Vogue,24,73 qs|73 questions|celeb style|celebrity|homes|style|tracee ellis ross|vogue|73|73 questions vogue|73 questions interview|ter|tracee ellis ross interview|tracee ellis|tracee ellis ross interview 2017|73 questions interview tracee ellis ross|tracee ellis ross 73 qs|tracee ellis ross vogue|fashion|beauty|vogue.com,312931,14065,182,1108,https://i.ytimg.com/vi/RlduVwzqK2o/default.jpg,2017-09-26,77.28021978021978,She is so fun and beautiful! She would be a cool aunt. Auntie in my head.,0.0,0.0,0.478,0.0,0.522,0.9
Gw01t6btiR0,SWIMMING IN A TUB OF DIAMONDS! (LOL),Amber Scholl,26,taylor swift|look what you made me do|parody|amber scholl|tub|diamonds|extra|glitter|halloween|costume|funny,404168,21677,436,1548,https://i.ytimg.com/vi/Gw01t6btiR0/default.jpg,2017-10-05,49.71788990825688,AMBER PLEASE DO A RING SHOPPING VLOG BECAUSE I JUST LOVE YOUR RING CHOICE. PLEASE ❤,1.0,0.0,0.478,0.0,0.522,0.9
