video_id,category_id,views,likes_x,dislikes,comment_total,L/D,likes_y,replies,poitive_score,negative_score,neutral_score,compound_score
-AJyaVduxCc,43,,,,,,,,,,,
-B9z3az6Axc,1,,,,,,,,,,,
-B9z3az6Axc,2,,,,,,,,,,,
-B9z3az6Axc,10,,,,,,,,,,,
-B9z3az6Axc,15,,,,,,,,,,,
-B9z3az6Axc,17,,,,,,,,,,,
-B9z3az6Axc,19,,,,,,,,,,,
-B9z3az6Axc,20,,,,,,,,,,,
-B9z3az6Axc,22,,,,,,,,,,,
-B9z3az6Axc,23,,,,,,,,,,,
-B9z3az6Axc,24,211177.0,16675.0,417.0,2539.0,39.988009592325746,3.648,0.158,0.20914399999999994,0.09087400000000004,0.7000079999999996,0.1955297999999997
-B9z3az6Axc,25,,,,,,,,,,,
-B9z3az6Axc,26,,,,,,,,,,,
-B9z3az6Axc,27,,,,,,,,,,,
-B9z3az6Axc,28,,,,,,,,,,,
-B9z3az6Axc,29,,,,,,,,,,,
-B9z3az6Axc,43,,,,,,,,,,,
-C-LJUD2LWU,1,,,,,,,,,,,
-C-LJUD2LWU,2,,,,,,,,,,,
-C-LJUD2LWU,10,,,,,,,,,,,
-C-LJUD2LWU,15,,,,,,,,,,,
-C-LJUD2LWU,17,,,,,,,,,,,
-C-LJUD2LWU,19,,,,,,,,,,,
-C-LJUD2LWU,20,,,,,,,,,,,
-C-LJUD2LWU,22,,,,,,,,,,,
-C-LJUD2LWU,23,,,,,,,,,,,
-C-LJUD2LWU,24,,,,,,,,,,,
-C-LJUD2LWU,25,45580.0,2348.0,41.0,504.0,57.26829268292697,0.075,0.025,0.27968999999999994,0.07486999999999999,0.6353949999999999,0.2949564999999999
-C-LJUD2LWU,26,,,,,,,,,,,
-C-LJUD2LWU,27,,,,,,,,,,,
-C-LJUD2LWU,28,,,,,,,,,,,
-C-LJUD2LWU,29,,,,,,,,,,,
-C-LJUD2LWU,43,,,,,,,,,,,
-CEuQhqNzz4,1,,,,,,,,,,,
-CEuQhqNzz4,2,,,,,,,,,,,
-CEuQhqNzz4,10,,,,,,,,,,,
-CEuQhqNzz4,15,,,,,,,,,,,
-CEuQhqNzz4,17,98617.0,332.0,21.0,269.0,15.809523809523846,4.3247863247863245,2.3803418803418803,0.1726025641025641,0.012512820512820513,0.8148675213675212,0.2886863247863247
-CEuQhqNzz4,19,,,,,,,,,,,
-CEuQhqNzz4,20,,,,,,,,,,,
-CEuQhqNzz4,22,,,,,,,,,,,
-CEuQhqNzz4,23,,,,,,,,,,,
-CEuQhqNzz4,24,,,,,,,,,,,
-CEuQhqNzz4,25,,,,,,,,,,,
-CEuQhqNzz4,26,,,,,,,,,,,
-CEuQhqNzz4,27,,,,,,,,,,,
-CEuQhqNzz4,28,,,,,,,,,,,
-CEuQhqNzz4,29,,,,,,,,,,,
-CEuQhqNzz4,43,,,,,,,,,,,
-DGXHMOhXAw,1,,,,,,,,,,,
-DGXHMOhXAw,2,,,,,,,,,,,
-DGXHMOhXAw,10,,,,,,,,,,,
-DGXHMOhXAw,15,,,,,,,,,,,
-DGXHMOhXAw,17,,,,,,,,,,,
-DGXHMOhXAw,19,,,,,,,,,,,
-DGXHMOhXAw,20,,,,,,,,,,,
-DGXHMOhXAw,22,,,,,,,,,,,
-DGXHMOhXAw,23,,,,,,,,,,,
-DGXHMOhXAw,24,,,,,,,,,,,
-DGXHMOhXAw,25,,,,,,,,,,,
