video_id,title,channel_title,category_id,tags,views,likes,dislikes,comment_total,thumbnail_link,date,L/D
CAQ2wWVlOuc,Jeff Bezos smashes bottle of champagne while perched on top of a giant wind mill,Tech Insider,28,Tech Insider|TI|Tech|Science|Innovation|Digital culture|Design|Technology|Jeff Bezos|Amazon|Wind mill|Solar power|Wind power,25541,510,94,129,https://i.ytimg.com/vi/CAQ2wWVlOuc/default.jpg,2017-10-20,5.425531914893617
CAQ2wWVlOuc,Jeff Bezos smashes bottle of champagne while perched on top of a giant wind mill,Tech Insider,28,Tech Insider|TI|Tech|Science|Innovation|Digital culture|Design|Technology|Jeff Bezos|Amazon|Wind mill|Solar power|Wind power,54244,640,149,203,https://i.ytimg.com/vi/CAQ2wWVlOuc/default.jpg,2017-10-21,4.295302013422819
CAQ2wWVlOuc,Jeff Bezos smashes bottle of champagne while perched on top of a giant wind mill,Tech Insider,28,Tech Insider|TI|Tech|Science|Innovation|Digital culture|Design|Technology|Jeff Bezos|Amazon|Wind mill|Solar power|Wind power,66230,661,153,203,https://i.ytimg.com/vi/CAQ2wWVlOuc/default.jpg,2017-10-22,4.3202614379084965
